Nickname,percentage,name,points.spread,Playoffs,Conference,Color
SAS,0.756097561,San Antonio Spurs*,7.8,YES,West,4
OKC,0.719512195,Oklahoma City Thunder*,6.4,YES,West,4
LAC,0.695121951,Los Angeles Clippers*,6.9,YES,West,4
IND,0.682926829,Indiana Pacers*,4.4,YES,East,3
HOU,0.658536585,Houston Rockets*,4.6,YES,West,4
MIA,0.658536585,Miami Heat*,4.8,YES,East,3
POR,0.658536585,Portland Trail Blazers*,3.9,YES,West,4
GSW,0.62195122,Golden State Warriors*,4.8,YES,West,4
MEM,0.609756098,Memphis Grizzlies*,1.5,YES,West,4
DAL,0.597560976,Dallas Mavericks*,2.4,YES,West,4
CHI,0.585365854,Chicago Bulls*,1.9,YES,East,3
PHO,0.585365854,Phoenix Suns,2.6,NO,West,2
TOR,0.585365854,Toronto Raptors*,3.3,YES,East,3
BRK,0.536585366,Brooklyn Nets*,-1,YES,East,3
WAS,0.536585366,Washington Wizards*,1.3,YES,East,3
CHA,0.524390244,Charlotte Bobcats*,-0.2,YES,East,3
MIN,0.487804878,Minnesota Timberwolves,2.6,NO,West,2
ATL,0.463414634,Atlanta Hawks*,-0.5,YES,East,3
NYK,0.451219512,New York Knicks,-0.8,NO,East,1
DEN,0.43902439,Denver Nuggets,-2.1,NO,West,2
NOP,0.414634146,New Orleans Pelicans,-2.7,NO,West,2
CLE,0.402439024,Cleveland Cavaliers,-3.3,NO,East,1
DET,0.353658537,Detroit Pistons,-3.7,NO,East,1
SAC,0.341463415,Sacramento Kings,-2.9,NO,West,2
LAL,0.329268293,Los Angeles Lakers,-6.2,NO,West,2
BOS,0.304878049,Boston Celtics,-4.5,NO,East,1
UTA,0.304878049,Utah Jazz,-7.2,NO,West,2
ORL,0.280487805,Orlando Magic,-5.5,NO,East,1
PHI,0.231707317,Philadelphia 76ers,-10.4,NO,East,1
MIL,0.182926829,Milwaukee Bucks,-8.2,NO,East,1
