Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,18,TOR,NBA,SF,64,17,18.4,2.8,6.2,0.45,0.2,0.6,0.341,2.6,5.6,0.462,1.2,1.7,0.712,1.6,2.6,4.2,1.5,0.8,1,1,1.3,7
1998-99,19,TOR,NBA,SF,49,2,22.6,3.4,7.9,0.436,0.2,0.7,0.229,3.3,7.1,0.457,2.3,3.2,0.726,2.4,3.2,5.7,2.3,1.1,1.3,1.6,1.9,9.3
1999-00,20,TOR,NBA,SF,79,34,31.2,5.8,12.9,0.451,0.2,0.8,0.277,5.6,12.1,0.463,3.5,5,0.707,2.4,4,6.3,3.3,1.1,1.9,2,2.5,15.4
2000-01,21,ORL,NBA,SG,77,77,40.1,10.2,22.4,0.457,0.8,2.2,0.355,9.5,20.2,0.468,5.6,7.6,0.733,2.5,5,7.5,4.6,1.5,1.5,2.6,2.1,26.8
2001-02,22,ORL,NBA,SG,76,76,38.3,9.4,20.9,0.451,1.4,3.7,0.364,8.1,17.1,0.47,5.5,7.3,0.748,2,5.9,7.9,5.3,1.6,1,2.5,1.8,25.6
2002-03,23,ORL,NBA,SG,75,74,39.4,11.1,24.2,0.457,2.3,6,0.386,8.7,18.2,0.481,7.7,9.7,0.793,1.6,4.9,6.5,5.5,1.7,0.8,2.6,2.1,32.1
2003-04,24,ORL,NBA,SG,67,67,39.9,9.7,23.4,0.417,2.6,7.7,0.339,7.1,15.7,0.455,5.9,7.5,0.796,1.4,4.6,6,5.5,1.4,0.6,2.7,1.9,28
2004-05,25,HOU,NBA,SF,78,78,40.8,9.2,21.3,0.431,1.8,5.6,0.326,7.3,15.7,0.468,5.5,7.1,0.774,0.9,5.3,6.2,5.7,1.7,0.7,2.6,2.1,25.7
2005-06,26,HOU,NBA,SF,47,47,37.1,8.7,21.5,0.406,1.6,5,0.312,7.2,16.5,0.434,5.4,7.2,0.747,1,5.6,6.5,4.8,1.3,0.9,2.6,1.9,24.4
2006-07,27,HOU,NBA,SG,71,71,35.8,9,20.8,0.431,1.8,5.4,0.331,7.2,15.5,0.466,4.9,6.9,0.707,0.8,4.5,5.3,6.5,1.3,0.5,3,1.9,24.6
2007-08,28,HOU,NBA,SG,66,62,37,8.3,19.8,0.419,1.3,4.5,0.292,7,15.3,0.457,3.7,5.4,0.684,0.6,4.5,5.1,5.9,1,0.5,2.4,1.4,21.6
2008-09,29,HOU,NBA,SG,35,35,33.7,5.4,13.9,0.388,1.3,3.3,0.376,4.1,10.5,0.391,3.6,4.5,0.801,0.6,3.8,4.4,5,1.2,0.4,2,1.1,15.6
2009-10,30,TOT,NBA,SG,30,24,22.4,3,7.8,0.387,0.5,2.1,0.25,2.5,5.7,0.439,1.6,2.1,0.746,0.7,2.4,3.1,3.3,0.5,0.5,1.5,1.3,8.2
2009-10,30,HOU,NBA,SG,6,0,7.7,1.2,3.2,0.368,0.2,0.3,0.5,1,2.8,0.353,0.7,1,0.667,0,0.8,0.8,1,0,0.3,0.2,0.3,3.2
2009-10,30,NYK,NBA,SG,24,24,26.1,3.5,9,0.389,0.6,2.6,0.242,2.9,6.4,0.448,1.8,2.4,0.754,0.9,2.8,3.7,3.9,0.6,0.5,1.8,1.6,9.4
2010-11,31,DET,NBA,SG,72,39,23.4,3.2,7.1,0.442,0.4,1.2,0.341,2.7,5.9,0.462,1.3,1.8,0.698,0.7,2.8,3.5,3.5,0.9,0.5,1.4,1.4,8
2011-12,32,ATL,NBA,SF,52,0,16.1,1.9,4.4,0.437,0.3,0.6,0.455,1.7,3.8,0.434,1.1,1.6,0.675,0.4,2.5,3,2.1,0.3,0.3,1,0.7,5.3
